raw,cell,condition,id,time,spindle_pole_a_vel,spindle_pole_b_vel,dist_centre_pole_a,dist_centre_pole_b,centre_cell_x,centre_cell_y,pole_a_x,pole_a_y,,,,,,pole_b_x,pole_b_y,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,2,30,0.126069646,0.592041759,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-12,0.819765278,0.884090744,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-9,0.662588275,0.554718447,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-6,0.62311761,0.168762818,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,-3,0.517666667,1.382378787,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,0,0.225331361,0.782482091,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,3,0.946343724,0.375415917,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,6,0.318666667,0.289830794,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,9,0.400336664,0.734490375,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,12,0.399971805,0.743782301,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,15,0.163873257,0.444977528,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,18,0.199266711,0.367118661,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,21,0.254927659,0.479338549,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,24,0.214354328,0.089144701,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,27,0.902848886,0.570175217,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,30,1.579231459,0.876897625,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,3,33,0.731161101,0.199266711,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-12,0.439822692,0.797337305,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-9,0.902848886,0.267135629,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-6,0.62174709,0.11266568,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,-3,0.816962395,0.202980295,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,0,0.597133337,0.321167315,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,3,0.607712834,0.806349524,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,6,0.519133038,0.535791211,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,9,0.844756901,0.409882639,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,12,0.607887508,0.214354328,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,15,0.321001904,0.079666667,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,18,0.214354328,0.198800011,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,21,0.678102336,0.08899563,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,24,0.125753286,0.214354328,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,27,0.48426462,0.423324409,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,30,0.445186228,0.874293111,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_3,control,4,33,0.34008267,0.25192812,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-12,0.844804054,0.906718136,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-9,0.588088523,0.508748028,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-6,0.675758422,0.778622858,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,-3,0.188682567,0.829659636,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,0,0.37778683,0.507607898,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,3,0.215593496,0.25338004,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,6,1.309640875,0.511160988,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,9,0.418,0.374409164,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,12,0.550424886,0.089333333,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,15,0.667809188,0.094446928,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,18,0.697058741,0.133418723,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,21,0.529174724,0.307379606,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,24,0.275212443,0.255266745,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,27,0.832979258,0.566469377,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,30,0.914513228,0.521503489,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,33,0.380187819,0.579627658,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,36,0.089666667,0.191156713,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,39,0.586657954,0.570462288,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,42,0.160812175,0.628034412,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,45,0.283234689,0.738763532,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,48,0.293976567,0.246335363,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,5,51,0.776912765,0.270667693,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,-12,0.089144701,0.267135629,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,-9,0.570175217,0.289830794,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,-6,0.311001608,0.587906361,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,-3,0.74070987,0.367118661,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,0,0.968858033,0.08899563,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,3,0.60913673,0.430724712,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,6,0.519209763,0.339965521,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,9,0.874293111,0.597,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,12,0.287242252,0.409882639,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,15,0.239,0.266837445,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,18,0.30327417,0.597333333,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,21,0.360522152,0.164277543,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,24,0.85481551,0.340394706,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,27,0.74070987,0.726588757,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_5,control,6,30,0.398133423,0.709109379,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,-15,,,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,-12,0.705735629,0.39216054,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,-9,0.398066717,0.681671312,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,-6,0.25192812,0.375698609,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,-3,0.199066711,0.519209763,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,0,0.303142797,0.453965246,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,3,0.534420247,0.25192812,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,6,0.125858827,0.479532295,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,9,0.464246702,0.766018857,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,12,0.281428499,0.591907275,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,15,0.177842002,0.554718447,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,18,0.286964961,0.056333333,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,21,0.405895033,0.25192812,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,24,0.337761421,0.367082491,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,27,0.199266711,0.820902281,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,30,0.587906361,0.933004823,,,,,,,,,,,,,,,,,,
2010.08.02_hela_gfp-tub_rfp-h2b_rap1_vox-40x,control_6,control,7,33,0.214354328,0.241995409,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,-15,,,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,-12,0.237,0.674976296,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,-9,0.750333333,0.264899562,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,-6,1.474569956,0.852564302,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,-3,1.628222514,1.944462365,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,0,1.611743707,0.279307278,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,3,0.46047379,0.745284509,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,6,0.698703879,0.672425874,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,9,1.147848228,1.44979328,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,12,0.877064865,0.99989555,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,15,0.355333333,0.514786903,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,18,0.308398191,0.237,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,21,0.176500551,0.475518431,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,24,0.276666667,0.357503691,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,27,0.252793284,0.936183327,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,30,0.781824433,0.961620969,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,33,0.125015555,0.124699194,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,36,0.197600045,0.212559273,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_4,control,8,39,0.434333333,0.813949562,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,-15,,,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,-12,0.197333333,0.364298565,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,-9,0.514786903,0.514786903,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,-6,0.357503691,0.474,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,-3,0.918596091,0.502752977,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,0,0.86955672,0.41953016,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,3,0.794847644,0.223210165,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,6,1.053666667,0.494627694,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,9,0.335168614,0.5310589,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,12,0.63324359,0.636587604,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,15,1.732301295,1.324646703,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,18,0.055625733,0.230551272,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_5,control,9,21,0.419749793,0.895291697,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,-15,,,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,-12,0.592333427,0.592400015,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,-9,0.318603899,0.42542802,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,-6,1.062365547,1.239234038,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,-3,0.124804736,1.488719547,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,0,1.478778512,0.703174548,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,3,1.308133191,0.230265547,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,6,0.197600045,1.063427687,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,9,1.642797884,0.975348599,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,12,0.162903175,0.450135412,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,15,0.671196113,0.357503691,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,18,0.446891486,0.339830677,,,,,,,,,,,,,,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,21,0.124699194,0.176351291,,,,,,,,,,,,,,,,,,
