Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,47,81,347.208,265.543,0.110363541,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,48,84,348.781,265.752,0.528941291,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,49,87,351.087,265.333,0.781252342,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,50,90,353.079,263.236,0.964104247,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,51,93,354.546,260.406,1.062543542,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,52,96,354.337,258.834,0.528610863,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,53,99,355.07,256.737,0.740472672,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,54,102,354.861,255.689,0.356212327,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,55,105,355.49,254.745,0.378120645,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,56,108,356.224,252.858,0.674909459,2627,336.7,244.4,58.3,57.4,150.8
