ID,Cell_Number,Treatment,X_0,Y_0,X,Y,Length
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,44.87,41.626,9.281348878
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,43.548,42.407,8.751384919
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,43.788,37.301,6.617154222
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,40.725,43.668,8.114052009
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,38.983,44.149,8.000940257
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,41.926,42.587,7.808600003
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,36.701,47.092,10.76555173
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,37.782,47.813,11.48574813
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,33.277,44.99,9.515030005
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,33.337,48.353,12.6314443
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,34.358,42.827,7.098792714
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,37.782,42.527,6.210607861
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,36.941,43.068,6.734685145
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,31.835,46.131,11.18429779
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,31.174,45.59,11.06214215
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,28.652,44.269,11.68930973
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,30.994,43.428,9.448002593
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,30.514,42.947,9.428943631
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,29.553,42.167,9.646723433
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,29.312,40.785,9.089943124
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,28.351,40.184,9.685475517
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,27.33,39.824,10.50553078
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-1,1,rap1_stlc,37.241,36.34,26.669,39.103,10.92709261
