file,position,condition,cell_id,frame,time,centrosome_a_x,centrosome_a_y,centrosome_a_vel,centrosome_a_dir,centrosome_b_x,centrosome_b_y,centrosome_b_vel,centrosome_b_dir,centrosome_mid_x,centrosome_mid_y,centrosome_mid_vel,centrosome_mid_dir,centrosome_distance,centrosome_angle,centrosome_elong,centrosome_rot,spindle_pole_a_x,spindle_pole_a_y,spindle_pole_a_vel,spindle_pole_a_dir,spindle_pole_b_x,spindle_pole_b_y,spindle_pole_b_vel,spindle_pole_b_dir,spindle_mid_x,spindle_mid_y,spindle_mid_vel,spindle_mid_dir,spindle_distance,spindle_angle,spindle_elong,spindle_rot,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,38,15,146.094,100.701,0.541461089,-36.00922047,148.244,99.865,0.375415917,-57.98922425,147.169,100.283,0.450309184,-44.98500503,2.30681512,-21.24793342,-0.226528295,-1.663855276,146.094,100.701,0.541461089,-36.00922047,148.244,99.865,0.375415917,-57.98922425,147.169,100.283,0.450309184,-44.98500503,2.30681512,21.24793342,-0.226528295,1.663855276,251.073,144.01,102.259,24.932,12.822,109.455,1788.715,145.606,102.148,68.691,33.155,96.434
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,39,18,148.722,99.028,1.038445045,-32.48106625,149.677,98.67,0.62196052,-39.82522929,149.1995,98.849,0.828605673,-35.23088498,1.019896563,-20.54947008,-0.428972852,0.232821114,148.722,99.028,1.038445045,-32.48106625,149.677,98.67,0.62196052,-39.82522929,149.1995,98.849,0.828605673,-35.23088498,1.019896563,20.54947008,-0.428972852,-0.232821114,245.422,144.521,100.793,24.525,12.741,111.42,1788.715,145.606,102.148,68.691,33.155,96.434
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,40,21,150.394,97.953,0.662588275,-32.73869003,150.514,97.834,0.394329952,-44.96575268,150.454,97.8935,0.525647801,-37.2950028,0.169,-44.7602701,-0.283632188,-8.070266675,150.394,97.953,0.662588275,-32.73869003,150.514,97.834,0.394329952,-44.96575268,150.454,97.8935,0.525647801,-37.2950028,0.169,44.7602701,-0.283632188,8.070266675,231.552,145.49,100.092,24.359,12.103,108.745,1788.715,145.606,102.148,68.691,33.155,96.434
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,41,24,151.469,96.52,0.597133337,-53.12370559,151.947,96.281,0.704375058,-47.30133815,151.708,96.4005,0.649920081,-49.97244085,0.534420247,-26.56505118,0.121806749,6.065072976,151.469,96.52,0.597133337,-53.12370559,151.947,96.281,0.704375058,-47.30133815,151.708,96.4005,0.649920081,-49.97244085,0.534420247,26.56505118,0.121806749,-6.065072976,235.661,146.319,98.462,23.355,12.847,105.451,1781.909,145.321,101.23,71.755,31.619,97.113
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,42,27,153.142,95.206,0.709109379,-38.14663755,153.261,94.847,0.648327078,-47.50041056,153.2015,95.0265,0.67646288,-42.61364042,0.378208937,-71.66086343,-0.052070437,-15.03193742,153.142,95.206,0.709109379,-38.14663755,153.261,94.847,0.648327078,-47.50041056,153.2015,95.0265,0.67646288,-42.61364042,0.378208937,71.66086343,-0.052070437,15.03193742,213.187,147.512,97.301,22.808,11.901,105.34,1781.909,146.038,101.23,71.755,31.619,97.113
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,43,30,154.217,95.086,0.36055898,-6.369439206,154.575,94.37,0.465966737,-19.95159069,154.396,94.728,0.410410702,-14.03060023,0.800512336,-63.43494882,0.1407678,2.741971535,154.217,95.086,0.36055898,-6.369439206,154.575,94.37,0.465966737,-19.95159069,154.396,94.728,0.410410702,-14.03060023,0.800512336,63.43494882,0.1407678,-2.741971535,214.086,148.567,96.747,23.915,11.398,101.412,1826.858,146.257,101.87,68.803,33.807,93.903
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,44,33,156.367,94.131,0.784185706,-23.95012476,156.247,93.294,0.662768604,-32.76292881,156.307,93.7125,0.721353762,-27.98605041,0.845558395,-98.15885086,0.015015353,-11.57463401,156.367,94.131,0.784185706,-23.95012476,156.247,93.294,0.662768604,-32.76292881,156.307,93.7125,0.721353762,-27.98605041,0.845558395,98.15885086,0.015015353,11.57463401,206.894,149.471,95.472,23.062,11.422,98.789,1826.858,146.615,101.87,68.803,33.807,93.903
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,45,36,158.039,94.37,0.562998421,8.13489979,157.681,92.578,0.534271259,-26.53307809,157.86,93.474,0.523735647,-8.730913701,1.827410189,-101.2976346,0.327283931,-1.046261247,158.039,94.37,0.562998421,8.13489979,157.681,92.578,0.534271259,-26.53307809,157.86,93.474,0.523735647,-8.730913701,1.827410189,101.2976346,0.327283931,1.046261247,222.305,151.357,94.82,23.536,12.026,94.182,2050.447,146.822,101.712,72.582,35.969,92.281
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,46,39,160.189,94.608,0.721044304,6.316791388,159.95,93.056,0.772934164,11.89629357,160.0695,93.832,0.746105016,9.203514535,1.570294558,-98.75448449,-0.08570521,0.847716704,160.189,94.608,0.721044304,6.316791388,159.95,93.056,0.772934164,11.89629357,160.0695,93.832,0.746105016,9.203514535,1.570294558,98.75448449,-0.08570521,-0.847716704,215.884,152.541,94.356,23.302,11.796,91.606,2050.447,146.822,101.712,72.582,35.969,92.281
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,47,42,161.623,95.086,0.503856241,18.43494882,161.503,94.489,0.704375058,42.69866185,161.563,94.7875,0.590999389,32.60998873,0.608940884,-101.3652907,-0.320451225,-0.870268735,161.623,95.086,0.503856241,18.43494882,161.503,94.489,0.704375058,42.69866185,161.563,94.7875,0.590999389,32.60998873,0.608940884,101.3652907,-0.320451225,0.870268735,221.92,153.816,94.22,23.267,12.144,88.086,2050.447,147.181,101.712,72.582,35.969,92.281
