X,Y,Value
171,35,3867
172,35,6150
173,35,5449
174,35,10089
175,35,7195
170,36,4163
171,36,9143
172,36,9078
173,36,9495
174,36,12062
175,36,9699
169,37,4763
170,37,4945
171,37,11413
172,37,10790
173,37,15587
174,37,12341
175,37,14122
168,38,2937
169,38,4005
170,38,7792
171,38,11690
172,38,11883
173,38,13430
174,38,16773
175,38,9909
168,39,3238
169,39,4181
170,39,9063
171,39,14401
172,39,14154
173,39,13046
174,39,9782
175,39,6949
168,40,5174
169,40,4219
170,40,6506
171,40,9657
172,40,9239
173,40,7984
174,40,6321
175,40,3949
167,41,4345
168,41,4089
169,41,2873
170,41,3260
171,41,3826
172,41,5783
173,41,3818
174,41,3767
175,41,3258
176,41,3271
165,42,7325
166,42,2993
167,42,2977
168,42,2755
169,42,3020
170,42,3847
171,42,3867
172,42,3882
173,42,4536
174,42,3160
175,42,2573
176,42,3951
177,42,3268
178,42,5236
162,43,5564
163,43,10476
164,43,12222
165,43,9565
166,43,5168
167,43,4193
168,43,3147
169,43,3163
170,43,2601
171,43,4272
172,43,3335
173,43,2310
174,43,3012
175,43,3797
176,43,7472
177,43,5489
178,43,6110
179,43,7937
157,44,7315
158,44,9367
159,44,5369
160,44,6540
161,44,6224
162,44,11627
163,44,11968
164,44,14810
165,44,11965
166,44,9662
167,44,4946
168,44,4067
169,44,2665
170,44,4303
171,44,3850
172,44,4184
173,44,3581
174,44,3596
175,44,4751
176,44,7581
177,44,7298
178,44,7886
179,44,8286
180,44,7224
181,44,4233
156,45,5296
157,45,8933
158,45,12264
159,45,11512
160,45,8615
161,45,14954
162,45,13891
163,45,14385
164,45,13730
165,45,12005
166,45,8040
167,45,7141
168,45,2841
169,45,4584
170,45,3189
171,45,3231
172,45,3452
173,45,2627
174,45,3432
175,45,9141
176,45,7631
177,45,10094
178,45,13676
179,45,8220
180,45,8852
181,45,8511
155,46,6396
156,46,10698
157,46,11290
158,46,17689
159,46,13847
160,46,15357
161,46,12800
162,46,18943
163,46,15017
164,46,16144
165,46,12310
166,46,9264
167,46,5385
168,46,2796
169,46,3433
170,46,3092
171,46,3340
172,46,3251
173,46,3099
174,46,3148
175,46,7840
176,46,9840
177,46,14722
178,46,15247
179,46,17375
180,46,18665
181,46,15627
182,46,9503
155,47,9564
156,47,13308
157,47,13047
158,47,16971
159,47,11892
160,47,17848
161,47,16136
162,47,14205
163,47,13983
164,47,16233
165,47,12518
166,47,6806
167,47,5815
168,47,4688
169,47,3168
170,47,1930
171,47,3287
172,47,3640
173,47,3551
174,47,3532
175,47,7994
176,47,15779
177,47,17340
178,47,15954
179,47,16691
180,47,18525
181,47,12737
182,47,9775
154,48,6209
155,48,10342
156,48,15582
157,48,13040
158,48,12426
159,48,9705
160,48,10562
161,48,15989
162,48,12319
163,48,13007
164,48,14157
165,48,10879
166,48,7731
167,48,5263
168,48,3354
169,48,3577
170,48,4301
171,48,3712
172,48,2925
173,48,4893
174,48,4922
175,48,7912
176,48,12572
177,48,19608
178,48,17126
179,48,13182
180,48,18086
181,48,15873
182,48,8801
153,49,4361
154,49,4418
155,49,7653
156,49,16261
157,49,13530
158,49,10801
159,49,10489
160,49,8379
161,49,14242
162,49,8868
163,49,10931
164,49,14517
165,49,9653
166,49,5854
167,49,4492
168,49,4351
169,49,5678
170,49,2189
171,49,2884
172,49,2573
173,49,3136
174,49,3770
175,49,4598
176,49,6396
177,49,13235
178,49,12300
179,49,12607
180,49,12056
181,49,12101
182,49,9693
183,49,3915
153,50,3924
154,50,6763
155,50,9056
156,50,9389
157,50,11911
158,50,5870
159,50,7011
160,50,6649
161,50,7350
162,50,10094
163,50,7183
164,50,6879
165,50,6092
166,50,3552
167,50,3251
168,50,3398
169,50,4064
170,50,4096
171,50,5157
172,50,4314
173,50,4807
174,50,3531
175,50,4773
176,50,5209
177,50,5233
178,50,6057
179,50,7209
180,50,7043
181,50,10814
182,50,10205
183,50,6627
184,50,9323
153,51,3062
154,51,5773
155,51,5292
156,51,10024
157,51,10107
158,51,7685
159,51,5521
160,51,5268
161,51,5710
162,51,7594
163,51,6522
164,51,5518
165,51,3675
166,51,3442
167,51,3667
168,51,4027
169,51,2997
170,51,3047
171,51,3634
172,51,3253
173,51,2703
174,51,2154
175,51,3059
176,51,3478
177,51,4221
178,51,4160
179,51,5745
180,51,6167
181,51,7246
182,51,7673
183,51,7961
184,51,5052
153,52,3101
154,52,4012
155,52,3954
156,52,4672
157,52,4658
158,52,6566
159,52,6379
160,52,4180
161,52,6258
162,52,5768
163,52,3832
164,52,4111
165,52,3426
166,52,3934
167,52,3379
168,52,2670
169,52,3027
170,52,2587
171,52,2908
172,52,2956
173,52,5084
174,52,3779
175,52,4729
176,52,4775
177,52,2965
178,52,3113
179,52,4869
180,52,4734
181,52,5503
182,52,6057
183,52,6734
184,52,6259
153,53,3519
154,53,2722
155,53,2973
156,53,3288
157,53,4967
158,53,4188
159,53,4339
160,53,3542
161,53,2918
162,53,3220
163,53,4532
164,53,3090
165,53,3968
166,53,4629
167,53,2759
168,53,2515
169,53,2819
170,53,3873
171,53,3817
172,53,3915
173,53,2702
174,53,2617
175,53,3876
176,53,2007
177,53,3777
178,53,3751
179,53,5221
180,53,5150
181,53,4276
182,53,4227
183,53,7296
184,53,7409
153,54,3072
154,54,2629
155,54,4144
156,54,3870
157,54,3184
158,54,3397
159,54,3603
160,54,3247
161,54,4513
162,54,3228
163,54,3390
164,54,4314
165,54,2118
166,54,4312
167,54,5709
168,54,3648
169,54,3977
170,54,4218
171,54,2981
172,54,3382
173,54,4538
174,54,4209
175,54,2997
176,54,2513
177,54,4404
178,54,3747
179,54,5403
180,54,3405
181,54,4627
182,54,3852
183,54,5694
153,55,4477
154,55,2682
155,55,3981
156,55,3497
157,55,3325
158,55,3490
159,55,2343
160,55,3976
161,55,3804
162,55,3898
163,55,1887
164,55,4200
165,55,4124
166,55,4950
167,55,1859
168,55,2946
169,55,2163
170,55,3969
171,55,3421
