X,Y,Value
72,51,2247
73,51,2973
74,51,3913
71,52,3165
72,52,3549
73,52,3717
74,52,3342
75,52,4885
76,52,2331
77,52,3058
78,52,2498
79,52,2615
90,52,2594
91,52,2643
92,52,2735
93,52,1757
94,52,1947
71,53,4486
72,53,2644
73,53,4455
74,53,5463
75,53,4965
76,53,3735
77,53,3521
78,53,2292
79,53,4809
80,53,2522
81,53,2422
82,53,2189
83,53,3686
84,53,2131
85,53,3824
86,53,2719
87,53,2782
88,53,6416
89,53,3125
90,53,3612
91,53,3514
92,53,3727
93,53,3528
94,53,2667
95,53,4609
96,53,3244
97,53,4074
98,53,2994
70,54,1881
71,54,3456
72,54,3409
73,54,4252
74,54,4069
75,54,2929
76,54,3972
77,54,5005
78,54,3249
79,54,5259
80,54,3777
81,54,2853
82,54,2593
83,54,3459
84,54,3259
85,54,3602
86,54,5804
87,54,3851
88,54,5089
89,54,4536
90,54,2773
91,54,4313
92,54,3392
93,54,3060
94,54,1911
95,54,4486
96,54,2805
97,54,2493
98,54,2075
99,54,4053
100,54,2305
70,55,2611
71,55,3820
72,55,4369
73,55,5395
74,55,4278
75,55,5624
76,55,6091
77,55,4930
78,55,3928
79,55,3778
80,55,4546
81,55,5245
82,55,7593
83,55,4430
84,55,3107
85,55,5174
86,55,3779
87,55,4682
88,55,6307
89,55,4317
90,55,5283
91,55,3999
92,55,3365
93,55,2750
94,55,2041
95,55,2424
96,55,1755
97,55,2338
98,55,2316
99,55,3790
100,55,2220
101,55,1869
69,56,4824
70,56,3231
71,56,5530
72,56,4033
73,56,6368
74,56,6121
75,56,5038
76,56,6177
77,56,6206
78,56,4476
79,56,4467
80,56,5705
81,56,7302
82,56,8537
83,56,10221
84,56,7459
85,56,7439
86,56,5743
87,56,7298
88,56,5855
89,56,4520
90,56,5052
91,56,4979
92,56,5719
93,56,3362
94,56,1985
95,56,3105
96,56,2761
97,56,3824
98,56,3782
99,56,4397
100,56,3567
101,56,2550
102,56,2567
69,57,2512
70,57,3297
71,57,4462
72,57,6226
73,57,3291
74,57,5033
75,57,3586
76,57,6417
77,57,7549
78,57,10089
79,57,8155
80,57,7457
81,57,8953
82,57,9813
83,57,8814
84,57,8404
85,57,7490
86,57,5481
87,57,4577
88,57,4369
89,57,5407
90,57,4008
91,57,8285
92,57,4830
93,57,4447
94,57,5479
95,57,2576
96,57,4558
97,57,3242
98,57,3211
99,57,2849
100,57,3851
101,57,3729
102,57,2592
103,57,2443
69,58,2727
70,58,2800
71,58,3203
72,58,3175
73,58,4903
74,58,3923
75,58,3937
76,58,6138
77,58,6705
78,58,7386
79,58,7114
80,58,8089
81,58,10398
82,58,6243
83,58,6182
84,58,8297
85,58,7968
86,58,5167
87,58,4832
88,58,3652
89,58,5150
90,58,3861
91,58,3879
92,58,2559
93,58,3965
94,58,3954
95,58,3882
96,58,3804
97,58,3438
98,58,4282
99,58,4429
100,58,3399
101,58,3413
102,58,2696
103,58,2622
104,58,2513
69,59,2563
70,59,2013
71,59,2439
72,59,3091
73,59,3689
74,59,3241
75,59,3297
76,59,5673
77,59,5090
78,59,8034
79,59,7677
80,59,6318
81,59,6744
82,59,6396
83,59,8883
84,59,8648
85,59,6434
86,59,6026
87,59,2782
88,59,3967
89,59,2798
90,59,4343
91,59,2947
92,59,3752
93,59,2865
94,59,3829
95,59,3264
96,59,2560
97,59,3676
98,59,3992
99,59,4758
100,59,3752
101,59,4579
102,59,3257
103,59,3683
104,59,2687
70,60,2053
71,60,2507
72,60,2970
73,60,2997
74,60,3598
75,60,3763
76,60,5023
77,60,6832
78,60,4852
79,60,7542
80,60,10723
81,60,6056
82,60,7626
83,60,6529
84,60,4606
85,60,4375
86,60,4776
87,60,2723
88,60,3528
89,60,4156
90,60,4167
91,60,4608
