X,Y,Value
137,49,2100
138,49,1774
139,49,2708
140,49,3419
141,49,2214
142,49,2941
143,49,2695
144,49,2934
145,49,3670
136,50,3053
137,50,1774
138,50,1765
139,50,3442
140,50,2958
141,50,2317
142,50,2163
143,50,2462
144,50,2518
145,50,2672
146,50,2242
135,51,2671
136,51,2849
137,51,3635
138,51,3536
139,51,2502
140,51,2533
141,51,2842
142,51,3114
143,51,3429
144,51,2991
145,51,3009
146,51,2427
135,52,4434
136,52,3301
137,52,3450
138,52,2516
139,52,3093
140,52,2949
141,52,2213
142,52,3199
143,52,3033
144,52,3087
145,52,2925
146,52,4787
147,52,2698
135,53,3467
136,53,2159
137,53,2615
138,53,2144
139,53,2522
140,53,3429
141,53,2949
142,53,3853
143,53,3187
144,53,4562
145,53,4348
146,53,2284
147,53,2536
135,54,2051
136,54,2680
137,54,2453
138,54,2090
139,54,3145
140,54,2155
141,54,3861
142,54,1995
143,54,2738
144,54,2765
145,54,3635
146,54,2020
147,54,3840
148,54,2644
135,55,2300
136,55,2400
137,55,2947
138,55,2646
139,55,3782
140,55,1939
141,55,3579
142,55,3260
143,55,2217
144,55,3921
145,55,4375
146,55,2776
147,55,2908
148,55,2811
149,55,1891
136,56,2750
137,56,2298
138,56,2502
139,56,3091
140,56,3777
141,56,2951
142,56,3521
143,56,2781
144,56,1716
145,56,2810
146,56,3807
147,56,4105
148,56,2885
149,56,2781
150,56,2614
137,57,2618
138,57,3000
139,57,3321
140,57,4181
141,57,3796
142,57,3614
143,57,4131
144,57,3120
145,57,2786
146,57,4002
147,57,4984
148,57,2021
149,57,3597
150,57,3024
151,57,2681
137,58,2753
138,58,4081
139,58,3155
140,58,3049
141,58,3920
142,58,2447
143,58,3409
144,58,2708
145,58,1961
146,58,2578
147,58,2782
148,58,3376
149,58,3212
150,58,2698
151,58,3608
137,59,2626
138,59,2699
139,59,3032
140,59,3613
141,59,3124
142,59,2538
143,59,2746
144,59,3167
145,59,1958
146,59,3019
147,59,3603
148,59,2945
149,59,4139
150,59,2158
151,59,2483
138,60,3355
139,60,2689
140,60,1692
141,60,3088
142,60,2759
143,60,2073
144,60,2382
145,60,2718
146,60,3108
147,60,2756
148,60,2249
149,60,3384
150,60,2218
151,60,3237
152,60,2360
139,61,2774
