X,Y,Value
95,81,11366
96,81,15915
97,81,25802
98,81,17133
99,81,18130
100,81,19081
101,81,13987
102,81,10953
103,81,9369
104,81,6285
112,81,7544
113,81,8320
114,81,5542
115,81,8250
116,81,8049
117,81,5273
93,82,6752
94,82,10677
95,82,14949
96,82,27292
97,82,29808
98,82,31614
99,82,32221
100,82,31098
101,82,27934
102,82,18182
103,82,19263
104,82,14735
105,82,14271
106,82,11912
107,82,10058
108,82,7604
109,82,4211
110,82,6366
111,82,6819
112,82,7680
113,82,6771
114,82,9978
115,82,11963
116,82,7343
117,82,8381
118,82,7318
119,82,6464
120,82,4036
121,82,4427
91,83,12104
92,83,10728
93,83,12620
94,83,19437
95,83,32394
96,83,40607
97,83,37127
98,83,36573
99,83,38060
100,83,38314
101,83,36055
102,83,30261
103,83,31515
104,83,27953
105,83,27822
106,83,16870
107,83,11712
108,83,6974
109,83,7122
110,83,6255
111,83,8646
112,83,7705
113,83,9993
114,83,11194
115,83,11674
116,83,9722
117,83,7046
118,83,6314
119,83,7298
120,83,6665
121,83,8312
122,83,13453
123,83,8805
89,84,19378
90,84,20820
91,84,22923
92,84,23297
93,84,27381
94,84,29271
95,84,34903
96,84,36875
97,84,32032
98,84,44323
99,84,45372
100,84,44492
101,84,42553
102,84,34199
103,84,39031
104,84,30611
105,84,31156
106,84,26236
107,84,21147
108,84,11672
109,84,7142
110,84,9058
111,84,9451
112,84,6433
113,84,9437
114,84,9463
115,84,10962
116,84,10388
117,84,7499
118,84,6977
119,84,9452
120,84,12356
121,84,20595
122,84,22345
123,84,20747
124,84,14396
125,84,11476
87,85,12014
88,85,22651
89,85,24197
90,85,33049
91,85,34203
92,85,38060
93,85,35222
94,85,40610
95,85,34969
96,85,35966
97,85,38198
98,85,44353
99,85,41342
100,85,48679
101,85,40658
102,85,46214
103,85,38264
104,85,41081
105,85,41812
106,85,33338
107,85,26275
108,85,20372
109,85,11781
110,85,6847
111,85,8250
112,85,10472
113,85,10032
114,85,9447
115,85,6958
116,85,11020
117,85,9078
118,85,14657
119,85,17035
120,85,25650
121,85,32287
122,85,32161
123,85,31660
124,85,31352
125,85,22039
126,85,24517
127,85,14189
128,85,6647
86,86,8858
87,86,16548
88,86,26210
89,86,30136
90,86,41458
91,86,46350
92,86,40358
93,86,39116
94,86,37795
95,86,28933
96,86,36885
97,86,41601
98,86,41261
99,86,40747
100,86,40972
101,86,46677
102,86,44099
103,86,41654
104,86,41092
105,86,35651
106,86,35847
107,86,27495
108,86,20534
109,86,17981
110,86,6619
111,86,8292
112,86,8662
113,86,10744
114,86,8648
115,86,7249
116,86,10852
117,86,13457
118,86,20776
119,86,30451
120,86,36934
121,86,42062
122,86,43959
123,86,42378
124,86,40977
125,86,38604
126,86,31843
127,86,22727
128,86,15218
129,86,12024
130,86,7670
86,87,13284
87,87,22670
88,87,32665
89,87,39571
90,87,44335
91,87,48198
92,87,42434
93,87,36879
94,87,38631
95,87,36810
96,87,40877
97,87,37582
98,87,39967
99,87,38071
100,87,44570
101,87,43870
102,87,45183
103,87,40613
104,87,35593
105,87,38895
106,87,31031
107,87,29905
108,87,26599
109,87,15557
110,87,9320
111,87,8703
112,87,8095
113,87,9193
114,87,10892
115,87,11062
116,87,12875
117,87,19845
118,87,32372
119,87,47132
120,87,48115
121,87,50807
122,87,51176
123,87,54776
124,87,46482
125,87,41486
126,87,38020
127,87,27107
128,87,17258
129,87,16495
130,87,12455
86,88,14739
87,88,16894
88,88,31274
89,88,38114
90,88,43944
91,88,43502
92,88,42690
93,88,40021
94,88,36525
95,88,40670
96,88,35454
97,88,36317
98,88,38258
99,88,43625
100,88,44855
101,88,38054
102,88,43487
103,88,42676
104,88,36425
105,88,43122
106,88,29565
107,88,30290
108,88,23587
109,88,11959
110,88,8434
111,88,10799
112,88,8052
113,88,9558
114,88,10345
115,88,11964
116,88,18608
117,88,27193
118,88,35503
119,88,47488
120,88,48015
121,88,51078
122,88,52885
123,88,57152
124,88,47946
125,88,43129
126,88,40278
127,88,35659
128,88,31081
129,88,22770
130,88,16290
131,88,15710
86,89,8607
87,89,20341
88,89,28216
89,89,35178
