X,Y,Value
60,32,2116
61,32,2186
62,32,2105
59,33,2199
60,33,2396
61,33,2298
62,33,2197
59,34,2202
60,34,2222
61,34,2204
62,34,2085
58,35,2184
59,35,2248
60,35,2362
61,35,2208
58,36,2107
59,36,2190
60,36,2126
57,37,1976
58,37,2065
59,37,2043
60,37,2032
57,38,1881
58,38,1981
59,38,1938
60,38,2006
58,39,1931
59,39,1989
60,39,1948
58,40,1932
59,40,2019
60,40,1970
74,40,2143
58,41,2024
59,41,2044
60,41,2099
72,41,2230
73,41,2310
74,41,2355
75,41,2271
76,41,2031
58,42,2040
59,42,2091
60,42,2082
61,42,2033
62,42,1992
71,42,2339
72,42,2302
73,42,2505
74,42,2412
75,42,2387
76,42,2197
77,42,2218
59,43,2131
60,43,2124
61,43,2116
62,43,2149
63,43,2127
70,43,2300
71,43,2408
72,43,2437
73,43,2415
74,43,2339
75,43,2303
76,43,2289
77,43,2408
78,43,2623
79,43,2363
43,44,1965
44,44,1976
45,44,1997
46,44,1969
59,44,2140
60,44,2083
61,44,2394
62,44,2201
63,44,2185
64,44,2120
65,44,2141
69,44,2218
70,44,2405
71,44,2438
72,44,2369
73,44,2286
74,44,2261
75,44,2298
76,44,2325
77,44,2614
78,44,2778
79,44,2666
80,44,2635
81,44,2430
82,44,2222
43,45,2099
44,45,1959
45,45,1993
46,45,1966
59,45,2149
60,45,2218
61,45,2262
62,45,2383
63,45,2346
64,45,2461
65,45,2439
66,45,2507
67,45,2520
68,45,2317
69,45,2480
70,45,2399
71,45,2399
72,45,2218
73,45,2092
74,45,2232
75,45,2195
76,45,2672
77,45,2611
78,45,2651
79,45,2870
80,45,2646
81,45,2628
82,45,2526
83,45,2240
43,46,1992
44,46,1998
45,46,1958
46,46,2079
47,46,1991
58,46,1948
59,46,2128
60,46,2164
61,46,2221
62,46,2199
63,46,2337
64,46,2599
65,46,2600
66,46,2703
67,46,2884
68,46,2744
69,46,2668
70,46,2707
71,46,2423
72,46,2153
73,46,2055
74,46,2219
75,46,2406
76,46,2672
77,46,2467
78,46,2878
79,46,2879
80,46,2796
81,46,2742
82,46,2595
83,46,2378
43,47,2002
44,47,2001
45,47,2017
46,47,2075
47,47,2084
48,47,2037
57,47,1918
58,47,1981
59,47,2241
60,47,2284
61,47,2416
62,47,2334
63,47,2324
64,47,2555
65,47,2627
66,47,2661
67,47,2678
68,47,2934
69,47,2872
70,47,2702
71,47,2375
72,47,2117
73,47,2145
74,47,2265
75,47,2389
76,47,2607
77,47,2593
78,47,2536
79,47,2612
80,47,2684
81,47,2676
82,47,2785
83,47,2505
44,48,2011
45,48,2084
46,48,1993
47,48,1921
48,48,1984
49,48,2075
50,48,2001
57,48,1920
58,48,2218
59,48,2173
60,48,2373
61,48,2432
62,48,2458
63,48,2442
64,48,2576
65,48,2592
66,48,2593
67,48,2799
68,48,2927
69,48,2565
70,48,2470
71,48,2245
72,48,2144
73,48,2006
74,48,2056
75,48,2266
76,48,2492
77,48,2527
78,48,2454
79,48,2792
80,48,2753
81,48,2805
82,48,2533
44,49,1994
45,49,1986
46,49,1971
47,49,2045
48,49,1972
49,49,2056
50,49,2093
51,49,1945
57,49,1930
58,49,2264
59,49,2271
60,49,2433
61,49,2394
62,49,2561
63,49,2550
64,49,2620
65,49,2608
66,49,2652
