X,Y,Value
131,78,2233
132,78,2277
127,79,2041
128,79,2170
129,79,1649
130,79,2341
131,79,2692
132,79,2800
133,79,2144
134,79,2501
126,80,2435
127,80,3338
128,80,1871
129,80,2670
130,80,1940
131,80,1859
132,80,4153
133,80,2366
134,80,2480
135,80,2606
124,81,1918
125,81,1984
126,81,2039
127,81,2051
128,81,1604
129,81,3009
130,81,2668
131,81,2309
132,81,3512
133,81,3747
134,81,2947
135,81,1955
123,82,2255
124,82,3918
125,82,2616
126,82,2932
127,82,1833
128,82,1902
129,82,1811
130,82,2536
131,82,2618
132,82,2482
133,82,2901
134,82,2958
135,82,2012
122,83,1834
123,83,1783
124,83,2100
125,83,2239
126,83,2175
127,83,2015
128,83,1692
129,83,2792
130,83,3087
131,83,2707
132,83,3468
133,83,2771
134,83,3305
135,83,2570
120,84,1725
121,84,1770
122,84,2150
123,84,2360
124,84,3349
125,84,1616
126,84,2242
127,84,1857
128,84,1576
129,84,1859
130,84,2369
131,84,2740
132,84,3527
133,84,3071
134,84,2890
135,84,1838
136,84,1865
114,85,1785
115,85,2394
116,85,2232
117,85,3166
118,85,2111
119,85,1615
120,85,2090
121,85,2762
122,85,2600
123,85,2009
124,85,1950
125,85,1902
126,85,3715
127,85,1654
128,85,2104
129,85,1800
130,85,2363
131,85,2412
132,85,3030
133,85,2387
134,85,3328
135,85,3691
136,85,2679
110,86,2253
111,86,2998
112,86,2415
113,86,2950
114,86,2324
115,86,2059
116,86,2105
117,86,2104
118,86,2374
119,86,2105
120,86,2092
121,86,1942
122,86,2538
123,86,1772
124,86,2667
125,86,2209
126,86,3248
127,86,2931
128,86,2096
129,86,1933
130,86,2635
131,86,2905
132,86,2777
133,86,2996
134,86,2293
135,86,2448
136,86,3079
110,87,3367
111,87,3754
112,87,3372
113,87,2785
114,87,3127
115,87,2380
116,87,2242
117,87,2510
118,87,2523
119,87,2310
120,87,2526
121,87,2973
122,87,3466
123,87,1984
124,87,2075
125,87,1955
126,87,1933
127,87,2229
128,87,3058
129,87,1594
130,87,2891
131,87,3212
132,87,2166
133,87,2770
134,87,1890
135,87,3092
136,87,2299
109,88,1789
110,88,2421
111,88,2118
112,88,2670
113,88,2746
114,88,3036
115,88,1838
116,88,2831
117,88,2726
118,88,2585
119,88,1884
120,88,3809
121,88,3220
122,88,2262
123,88,2273
124,88,2849
125,88,2766
126,88,1882
127,88,2221
128,88,2946
129,88,2060
130,88,2564
131,88,2771
132,88,3286
133,88,2344
134,88,3051
135,88,1916
136,88,1797
137,88,2421
109,89,1760
110,89,3173
111,89,2338
112,89,2998
113,89,1806
114,89,1807
115,89,2121
116,89,2536
117,89,2388
118,89,2381
119,89,3054
120,89,2242
121,89,3038
122,89,1955
123,89,3352
124,89,3525
125,89,2074
126,89,3144
127,89,2912
128,89,2737
129,89,2315
130,89,3940
131,89,1938
132,89,2251
133,89,2276
134,89,1977
135,89,2778
136,89,2736
137,89,3392
108,90,1933
109,90,2214
110,90,1915
111,90,1942
112,90,2182
113,90,1787
114,90,2115
115,90,2109
116,90,2209
117,90,2603
118,90,3386
119,90,3296
120,90,2291
121,90,3458
122,90,2449
123,90,3471
124,90,3554
125,90,3139
126,90,2776
127,90,1918
128,90,2270
129,90,2667
130,90,1804
131,90,2626
132,90,2507
133,90,1790
134,90,2900
135,90,1842
136,90,2627
137,90,1768
108,91,2060
109,91,2436
110,91,2303
111,91,1971
112,91,2387
113,91,2021
114,91,1959
115,91,2257
116,91,2200
117,91,3233
118,91,2609
119,91,1932
120,91,2429
121,91,2215
122,91,2108
123,91,2111
124,91,2613
125,91,2518
126,91,2350
127,91,2322
128,91,2238
129,91,3199
130,91,1927
131,91,1915
132,91,1638
133,91,2201
134,91,2167
135,91,2345
136,91,2265
137,91,2612
107,92,1832
108,92,2421
109,92,2218
110,92,1992
111,92,2406
112,92,1946
113,92,2526
114,92,3320
115,92,2187
116,92,2463
117,92,2180
118,92,2196
119,92,1860
120,92,2021
121,92,2528
122,92,3391
123,92,1934
124,92,2197
125,92,2528
126,92,2208
127,92,2223
128,92,3357
129,92,2166
130,92,2610
131,92,2295
132,92,1902
133,92,1944
134,92,2967
135,92,2075
136,92,2524
137,92,2733
107,93,2378
108,93,2074
109,93,2146
110,93,2555
111,93,1632
112,93,2365
113,93,2343
114,93,2835
115,93,2099
116,93,2289
117,93,2797
118,93,1807
119,93,2323
120,93,2462
121,93,1788
122,93,2114
123,93,3661
124,93,2341
125,93,2414
126,93,1751
127,93,3067
128,93,3456
129,93,2020
130,93,1643
131,93,3324
132,93,2063
133,93,2699
134,93,2558
135,93,2451
136,93,2451
137,93,2217
106,94,2188
107,94,1665
108,94,2295
109,94,1920
110,94,3040
111,94,2776
112,94,2083
113,94,3587
114,94,1929
115,94,2303
116,94,2317
117,94,2258
118,94,2110
119,94,2402
120,94,2249
121,94,2182
122,94,2227
123,94,2139
124,94,2374
125,94,2357
126,94,1793
127,94,2094
128,94,1766
129,94,2208
130,94,2835
131,94,3612
132,94,2242
133,94,2926
134,94,3446
135,94,4346
136,94,1987
137,94,2282
138,94,2792
106,95,2076
107,95,2291
108,95,3355
109,95,2384
110,95,2480
111,95,2093
112,95,1902
113,95,1901
114,95,2350
115,95,2638
116,95,2736
117,95,2629
118,95,1976
119,95,2788
120,95,1950
121,95,2434
122,95,2316
123,95,2335
124,95,2096
125,95,2169
126,95,2139
127,95,2563
128,95,2083
129,95,1663
130,95,2034
131,95,1877
132,95,1828
133,95,1941
134,95,3607
135,95,5255
136,95,1910
137,95,2529
138,95,1977
106,96,3585
107,96,3135
108,96,2284
109,96,2036
110,96,2632
111,96,1955
112,96,2605
113,96,2270
114,96,2033
115,96,2287
116,96,1968
117,96,2641
118,96,2541
119,96,2093
120,96,1630
121,96,2269
122,96,1709
123,96,2134
124,96,2580
125,96,2735
126,96,2479
127,96,3004
128,96,2091
129,96,1736
130,96,1633
131,96,2178
132,96,3154
133,96,3562
134,96,2296
135,96,3755
136,96,2553
137,96,3031
138,96,2351
106,97,3290
107,97,2831
108,97,2203
109,97,2204
110,97,1787
111,97,1987
112,97,2278
113,97,2236
114,97,3023
115,97,2130
116,97,2453
117,97,2279
118,97,2240
119,97,3060
120,97,2023
121,97,2785
122,97,2128
123,97,2633
124,97,1881
125,97,2001
126,97,2070
127,97,1715
128,97,1777
129,97,1809
130,97,2717
131,97,2357
132,97,2452
133,97,2583
134,97,3647
135,97,3225
136,97,2874
137,97,2763
138,97,2308
106,98,2146
107,98,2731
108,98,2838
109,98,2913
110,98,2265
111,98,2080
112,98,2284
113,98,2985
114,98,4253
115,98,2160
116,98,2459
117,98,1829
118,98,2459
119,98,2344
120,98,2783
121,98,2352
122,98,1861
123,98,2573
124,98,2108
125,98,2148
126,98,3036
127,98,1909
128,98,2022
129,98,1555
130,98,3177
131,98,2590
132,98,3438
133,98,4120
134,98,1936
135,98,2810
136,98,3239
137,98,2241
138,98,2787
106,99,2500
107,99,2232
108,99,3129
109,99,3259
110,99,3540
111,99,3274
112,99,2581
113,99,2022
114,99,2493
115,99,2039
116,99,2779
117,99,2317
118,99,2672
119,99,2514
120,99,3702
121,99,3168
122,99,1875
123,99,2485
124,99,2224
125,99,2543
126,99,1883
127,99,2669
128,99,2735
129,99,1707
130,99,1959
131,99,2244
132,99,1936
133,99,2682
134,99,2188
135,99,2541
136,99,2396
137,99,2212
138,99,1908
106,100,1907
107,100,1957
108,100,2782
109,100,2952
110,100,2311
111,100,2325
112,100,3348
113,100,3012
114,100,3084
115,100,2957
116,100,2676
117,100,2111
118,100,3192
119,100,2929
120,100,2506
121,100,2607
122,100,2278
123,100,2047
124,100,2354
125,100,1613
126,100,1704
127,100,1834
128,100,2150
129,100,2497
130,100,2633
131,100,2244
132,100,2889
133,100,3235
134,100,2432
135,100,1626
136,100,2790
137,100,1720
106,101,1906
107,101,2450
108,101,2734
109,101,2920
110,101,2655
111,101,1703
112,101,1970
113,101,4319
114,101,3170
115,101,2511
116,101,1803
117,101,2969
118,101,2548
119,101,2191
120,101,2962
121,101,2919
122,101,2493
123,101,3228
124,101,2086
125,101,1814
126,101,2328
127,101,1798
128,101,2781
129,101,2724
130,101,2566
131,101,2213
132,101,2535
133,101,2591
134,101,1946
135,101,2235
136,101,1739
137,101,1988
106,102,2000
107,102,2195
108,102,2565
109,102,1778
110,102,3373
111,102,1766
112,102,1996
113,102,2544
114,102,2757
115,102,2860
116,102,1936
117,102,2590
118,102,3080
