X,Y,Value
48,74,2771
49,74,3590
50,74,3517
51,74,2365
52,74,2924
53,74,2631
54,74,2760
55,74,2283
47,75,2474
48,75,3600
49,75,4757
50,75,3320
51,75,3550
52,75,2790
53,75,4574
54,75,2715
55,75,4045
56,75,2342
57,75,3449
46,76,2239
47,76,3366
48,76,5386
49,76,5000
50,76,5759
51,76,6561
52,76,4131
53,76,4037
54,76,2789
55,76,2078
56,76,2751
57,76,3271
58,76,3503
59,76,2719
46,77,3153
47,77,2804
48,77,4949
49,77,8092
50,77,4850
51,77,4500
52,77,3392
53,77,4122
54,77,3100
55,77,1941
56,77,2672
57,77,2159
58,77,2234
59,77,2194
60,77,3030
46,78,3456
47,78,4887
48,78,4780
49,78,5386
50,78,5217
51,78,5945
52,78,6184
53,78,4316
54,78,3808
55,78,2023
56,78,1668
57,78,2318
58,78,2708
59,78,2065
60,78,1954
61,78,2305
46,79,3606
47,79,4999
48,79,3804
49,79,6395
50,79,7779
51,79,7301
52,79,8118
53,79,4968
54,79,2843
55,79,3423
56,79,3234
57,79,2178
58,79,2263
59,79,2552
60,79,3145
61,79,2633
62,79,2472
73,79,3483
74,79,2575
75,79,3547
76,79,3223
77,79,4087
78,79,2714
79,79,3793
46,80,3563
47,80,4099
48,80,5252
49,80,5485
50,80,6428
51,80,4490
52,80,5594
53,80,3671
54,80,4035
55,80,4033
56,80,1646
57,80,2041
58,80,1865
59,80,3576
60,80,3020
61,80,2282
62,80,6760
63,80,4596
64,80,5638
65,80,2350
66,80,1829
67,80,2419
68,80,2801
69,80,3080
70,80,3279
71,80,3472
72,80,2967
73,80,3624
74,80,4456
75,80,4013
76,80,4599
77,80,3823
78,80,3030
79,80,5665
80,80,2957
81,80,2991
46,81,2066
47,81,3782
48,81,4050
49,81,4067
50,81,4805
51,81,3078
52,81,4557
53,81,3818
54,81,3489
55,81,3454
56,81,2520
57,81,2735
58,81,2273
59,81,3201
60,81,4651
61,81,5583
62,81,5162
63,81,5654
64,81,6158
65,81,5542
