X,Y,Value
151,50,3473
164,50,2848
165,50,3227
166,50,2849
167,50,2368
168,50,5340
169,50,3754
170,50,2590
147,51,1533
148,51,2395
149,51,3676
150,51,3647
151,51,5189
152,51,3788
153,51,3281
154,51,2432
155,51,2546
156,51,1846
157,51,3198
158,51,2404
159,51,1860
160,51,2367
161,51,3538
162,51,2156
163,51,2940
164,51,3649
165,51,4292
166,51,4467
167,51,6101
168,51,5961
169,51,5214
170,51,6091
171,51,2540
146,52,2554
147,52,1953
148,52,4459
149,52,6106
150,52,8668
151,52,6952
152,52,4566
153,52,4791
154,52,3799
155,52,2268
156,52,2263
157,52,2230
158,52,2701
159,52,2449
160,52,3579
161,52,3805
162,52,2837
163,52,3860
164,52,6979
165,52,7177
166,52,6527
167,52,7664
168,52,8656
169,52,9389
170,52,7783
171,52,4811
172,52,3427
145,53,4493
146,53,3357
147,53,4788
148,53,4631
149,53,6912
150,53,9141
151,53,9107
152,53,6261
153,53,4402
154,53,3709
155,53,2317
156,53,2806
157,53,2701
158,53,2858
159,53,2764
160,53,3388
161,53,3474
162,53,5920
163,53,6594
164,53,7976
165,53,8912
166,53,10919
167,53,11638
168,53,10759
169,53,10655
170,53,10580
171,53,9037
172,53,4951
173,53,3950
144,54,4914
145,54,4725
146,54,4434
147,54,4700
148,54,6030
149,54,8784
150,54,5698
151,54,11845
152,54,8985
153,54,6383
154,54,6087
155,54,2853
156,54,1952
157,54,3572
158,54,2283
159,54,2177
160,54,2325
161,54,6487
162,54,8528
163,54,11349
164,54,10424
165,54,9732
166,54,13022
167,54,15104
168,54,17290
169,54,12099
170,54,12267
171,54,11355
172,54,9714
173,54,4232
144,55,4754
145,55,3863
146,55,4107
147,55,6710
148,55,7969
149,55,8328
150,55,7193
151,55,9032
152,55,12962
153,55,9943
154,55,7056
155,55,3183
156,55,2565
157,55,2057
158,55,2176
159,55,5353
160,55,3326
161,55,4427
162,55,7892
163,55,12916
164,55,12466
165,55,12562
166,55,12969
167,55,15120
168,55,16532
169,55,15177
170,55,13054
171,55,15273
172,55,9881
173,55,6365
143,56,3268
144,56,5240
145,56,5261
146,56,4169
147,56,8565
148,56,6691
149,56,6460
150,56,8055
151,56,8366
152,56,7730
153,56,6887
154,56,3667
155,56,4790
156,56,2404
157,56,2537
158,56,2305
159,56,2874
160,56,3635
161,56,6207
162,56,5369
163,56,11345
164,56,11890
165,56,13964
166,56,14813
167,56,15731
168,56,12992
169,56,13704
170,56,15448
171,56,16655
172,56,11163
173,56,9504
143,57,2868
144,57,3694
145,57,4987
146,57,4363
147,57,4017
148,57,5180
149,57,5857
150,57,8261
151,57,6743
152,57,7513
153,57,6924
154,57,5394
155,57,5099
156,57,3801
157,57,2144
158,57,2290
159,57,2982
160,57,2629
161,57,3974
162,57,6553
163,57,11247
164,57,10477
165,57,14919
166,57,11358
167,57,11440
168,57,12021
169,57,11058
170,57,14545
171,57,12986
172,57,12239
173,57,7830
143,58,2023
144,58,3552
145,58,3013
146,58,2910
147,58,3171
148,58,4083
149,58,3078
150,58,3685
151,58,5909
152,58,4037
153,58,3483
154,58,4511
155,58,3131
156,58,3154
157,58,2318
158,58,2278
159,58,2120
160,58,4155
161,58,3622
162,58,4715
163,58,6582
164,58,12323
165,58,14609
166,58,13139
167,58,9742
168,58,15776
169,58,11902
170,58,15635
171,58,14362
172,58,7774
173,58,5925
174,58,4283
143,59,2898
144,59,2167
145,59,1944
146,59,3066
147,59,2419
148,59,3528
149,59,4011
150,59,4333
151,59,3099
152,59,3367
153,59,2502
154,59,3830
155,59,2670
156,59,4595
157,59,1965
158,59,2286
159,59,2719
160,59,1816
161,59,2917
162,59,2974
163,59,5878
164,59,6567
165,59,10546
166,59,9514
167,59,11307
168,59,7726
169,59,10540
170,59,8438
171,59,10349
172,59,9676
173,59,3719
174,59,4526
143,60,2087
144,60,1899
145,60,2170
146,60,2082
147,60,2299
148,60,2211
149,60,1994
150,60,3881
151,60,3294
152,60,3440
153,60,2888
154,60,2859
155,60,2273
156,60,4618
157,60,4158
158,60,2843
159,60,2955
160,60,2690
161,60,2988
162,60,3284
163,60,3191
164,60,4906
165,60,5941
166,60,6781
167,60,7272
168,60,7069
169,60,7909
170,60,7685
171,60,8709
172,60,4602
173,60,4622
174,60,4225
175,60,3941
132,61,2528
133,61,2352
134,61,3668
135,61,3086
136,61,4269
143,61,2899
144,61,2466
145,61,3847
146,61,2392
147,61,3177
148,61,2669
149,61,4329
150,61,3877
151,61,2470
152,61,3230
153,61,4788
154,61,3023
155,61,3046
156,61,3776
157,61,4095
158,61,4689
159,61,3129
160,61,3098
161,61,2809
162,61,2484
163,61,3238
164,61,4803
165,61,4788
166,61,5940
167,61,3875
168,61,5723
169,61,4799
170,61,6710
171,61,4908
172,61,5914
173,61,3127
174,61,2649
175,61,3866
131,62,3731
132,62,4872
133,62,3530
134,62,3358
135,62,3886
136,62,4560
137,62,2989
138,62,2773
139,62,3309
140,62,2526
141,62,2542
142,62,1718
143,62,2976
144,62,3460
145,62,2388
