X,Y,Value
161,33,2106
162,33,2998
163,33,2519
164,33,3435
165,33,4504
166,33,3049
167,33,4192
168,33,4498
169,33,2354
170,33,2177
171,33,2641
154,34,3695
155,34,2597
156,34,3137
157,34,3254
158,34,3270
159,34,2369
160,34,3554
161,34,2386
162,34,4239
163,34,2155
164,34,2070
165,34,2729
166,34,3801
167,34,2011
168,34,2307
169,34,3399
170,34,2357
171,34,2496
172,34,3151
148,35,3602
149,35,2339
150,35,3559
151,35,2441
152,35,2406
153,35,3591
154,35,4388
155,35,3272
156,35,2383
157,35,2611
158,35,5295
159,35,2153
160,35,2091
161,35,2021
162,35,2249
163,35,2593
164,35,3354
165,35,3429
166,35,3801
167,35,2786
168,35,2476
169,35,2893
170,35,2716
171,35,3673
172,35,2166
173,35,2513
146,36,3739
147,36,3091
148,36,2275
149,36,1799
150,36,2470
151,36,3035
152,36,2607
153,36,3539
154,36,2305
155,36,2983
156,36,2062
157,36,2906
158,36,2550
159,36,3006
160,36,2111
161,36,2351
162,36,2354
163,36,2367
164,36,3324
165,36,3018
166,36,3574
167,36,3103
168,36,2726
169,36,2769
170,36,1845
171,36,3687
172,36,2662
173,36,2321
174,36,2116
145,37,2230
146,37,2644
147,37,2257
148,37,2590
149,37,2172
150,37,3045
151,37,3273
152,37,2142
153,37,2772
154,37,1956
155,37,2618
156,37,2725
157,37,2332
158,37,3402
159,37,2661
160,37,3737
161,37,2845
162,37,3522
163,37,4200
164,37,3439
165,37,2395
166,37,2271
167,37,2755
168,37,4017
169,37,2723
170,37,4562
171,37,3684
172,37,3683
173,37,2238
174,37,2848
175,37,2078
116,38,2833
117,38,2198
118,38,3730
119,38,2443
120,38,2367
121,38,2302
122,38,2345
123,38,2988
124,38,2860
125,38,3138
126,38,2918
127,38,2768
128,38,3973
129,38,2439
130,38,2736
131,38,2350
132,38,3939
133,38,4328
134,38,3752
135,38,4047
136,38,3696
137,38,4666
138,38,2607
143,38,3110
144,38,3211
145,38,2318
146,38,2983
147,38,2326
148,38,3498
149,38,2345
150,38,3347
151,38,2308
152,38,3488
153,38,1998
154,38,1758
155,38,2526
156,38,3179
157,38,2667
158,38,2879
159,38,1869
160,38,2671
161,38,2331
162,38,2552
163,38,3500
164,38,2758
165,38,2477
166,38,2862
167,38,4073
168,38,3349
169,38,3132
170,38,2691
171,38,4491
172,38,2559
173,38,3420
174,38,2532
175,38,3087
113,39,2133
114,39,2873
115,39,2257
116,39,4212
117,39,3022
118,39,3668
119,39,3521
120,39,1844
121,39,2580
122,39,2445
123,39,3657
124,39,3501
125,39,4867
126,39,2451
127,39,2542
128,39,2590
129,39,2833
130,39,2283
131,39,2113
132,39,2433
133,39,2433
134,39,2333
135,39,2286
136,39,2791
137,39,2947
138,39,2802
139,39,2385
140,39,3085
141,39,1921
142,39,2168
143,39,3307
144,39,2656
145,39,2528
146,39,2143
147,39,2495
148,39,2598
149,39,2213
150,39,3173
151,39,3759
152,39,3257
153,39,2439
154,39,2393
155,39,3169
156,39,4004
157,39,2119
158,39,2394
159,39,1980
160,39,2000
161,39,2282
162,39,3000
163,39,2576
164,39,1796
165,39,1998
166,39,2402
167,39,3761
168,39,3431
169,39,2310
170,39,3241
171,39,4125
172,39,2007
173,39,2924
174,39,2015
175,39,3864
176,39,2221
107,40,3809
108,40,2064
109,40,2471
110,40,2905
111,40,2886
112,40,2221
113,40,3002
114,40,3389
115,40,2878
116,40,2660
117,40,3472
118,40,3968
119,40,2294
120,40,2522
121,40,2818
122,40,2519
123,40,2832
124,40,3546
125,40,2507
126,40,2499
127,40,2467
128,40,3209
129,40,2295
130,40,2951
131,40,2849
132,40,2771
133,40,2551
134,40,2179
135,40,2839
136,40,2423
137,40,2150
138,40,2813
139,40,2601
140,40,1798
141,40,2968
142,40,2804
143,40,3832
144,40,3168
145,40,2861
146,40,2634
147,40,3183
148,40,4523
149,40,3148
150,40,3525
151,40,3603
152,40,2065
153,40,2118
154,40,2855
155,40,3624
156,40,2019
157,40,3162
158,40,2407
159,40,2332
160,40,1955
161,40,2417
162,40,3159
163,40,2275
164,40,2404
165,40,2643
166,40,3606
167,40,2604
168,40,3749
169,40,2009
170,40,2723
171,40,2882
172,40,1946
173,40,2468
174,40,2667
175,40,2515
176,40,2017
106,41,2369
107,41,2413
108,41,2967
109,41,2100
110,41,2668
