X,Y,Value
133,28,2439
134,28,4188
135,28,1874
136,28,2846
137,28,2897
138,28,1849
123,29,2125
124,29,2653
125,29,3827
126,29,3170
127,29,2046
128,29,3092
129,29,2593
130,29,2899
131,29,4096
132,29,2089
133,29,2271
134,29,2444
135,29,2374
136,29,3406
137,29,2011
138,29,1805
139,29,2526
140,29,3100
141,29,3204
142,29,2461
143,29,3438
144,29,3459
145,29,2663
100,30,2621
101,30,2737
102,30,2546
103,30,3222
104,30,3118
105,30,2626
106,30,3978
107,30,2815
108,30,2734
109,30,3965
110,30,2886
111,30,3354
112,30,3802
113,30,3557
114,30,2984
115,30,2809
116,30,2220
117,30,3353
118,30,4563
119,30,2407
120,30,1873
121,30,2085
122,30,2532
123,30,3225
124,30,2665
125,30,2711
126,30,1995
127,30,3082
128,30,3366
129,30,2498
130,30,3471
131,30,2825
132,30,2679
133,30,3736
134,30,3704
135,30,2134
136,30,2522
137,30,2700
138,30,1916
139,30,1905
140,30,3107
141,30,1759
142,30,2060
143,30,2010
144,30,1861
145,30,2722
146,30,2587
147,30,2400
148,30,1963
97,31,3277
98,31,3303
99,31,3541
100,31,2914
101,31,2928
102,31,2583
103,31,2028
104,31,3075
105,31,1925
106,31,3393
107,31,2686
108,31,4942
109,31,2132
110,31,3170
111,31,1978
112,31,2277
113,31,2584
114,31,2282
115,31,1886
116,31,1986
117,31,2754
118,31,2807
119,31,2630
120,31,2238
121,31,2334
122,31,3136
123,31,2907
124,31,1789
125,31,2255
126,31,2656
127,31,3684
128,31,2835
129,31,2858
130,31,3473
131,31,3314
132,31,2427
133,31,2557
134,31,2245
135,31,3283
136,31,3271
137,31,3765
138,31,2459
139,31,2180
140,31,2037
141,31,2118
142,31,2020
143,31,3375
144,31,2901
145,31,2832
146,31,1644
147,31,2181
148,31,2411
149,31,3542
150,31,2968
151,31,1825
94,32,2643
95,32,4902
96,32,2189
97,32,3484
98,32,3034
99,32,4441
100,32,4974
101,32,2704
102,32,2435
103,32,1939
104,32,3047
105,32,3997
106,32,2709
107,32,2922
108,32,3275
109,32,4270
110,32,2989
111,32,2346
112,32,2361
113,32,3422
114,32,3750
115,32,3667
116,32,3933
117,32,2517
118,32,2898
119,32,3549
120,32,2836
121,32,3060
122,32,2815
123,32,2980
124,32,3530
125,32,3604
126,32,2303
127,32,2307
128,32,2517
129,32,2313
130,32,3465
