X,Y,Value
89,45,1798
90,45,1930
91,45,1872
92,45,1908
93,45,1882
94,45,1834
86,46,1838
87,46,1825
88,46,1869
89,46,1824
90,46,1857
91,46,1865
92,46,2019
93,46,1873
94,46,1861
95,46,1868
96,46,1806
97,46,1787
98,46,1880
83,47,1865
84,47,1831
85,47,1790
86,47,1855
87,47,1847
88,47,1862
89,47,1881
90,47,1859
91,47,1879
92,47,1858
93,47,1863
94,47,1868
95,47,1841
96,47,1872
97,47,1826
98,47,1828
99,47,1833
72,48,1925
73,48,1866
74,48,1835
75,48,1852
76,48,1817
77,48,1867
78,48,1865
79,48,1813
80,48,1856
81,48,1849
82,48,1856
83,48,1849
84,48,1828
85,48,1837
86,48,1881
87,48,1855
88,48,1858
89,48,1858
90,48,1955
91,48,1902
92,48,1877
93,48,1872
94,48,1848
95,48,1907
96,48,1936
97,48,1804
98,48,1787
99,48,1895
100,48,1845
71,49,1984
72,49,1904
73,49,1873
74,49,1854
75,49,1829
76,49,1835
77,49,1901
78,49,1857
79,49,1870
80,49,1850
81,49,1798
82,49,1887
83,49,1883
84,49,1860
85,49,1809
86,49,1811
87,49,1856
88,49,1874
89,49,1851
90,49,1851
91,49,1835
92,49,1837
93,49,1857
94,49,1895
95,49,1853
96,49,1936
97,49,1850
98,49,1861
99,49,1887
100,49,1875
70,50,1893
71,50,1891
72,50,1882
73,50,1940
74,50,1839
75,50,1967
76,50,1880
77,50,1868
78,50,1884
79,50,1870
80,50,1934
81,50,1906
82,50,1855
83,50,1848
84,50,1841
85,50,1821
86,50,1799
87,50,1856
88,50,1858
89,50,1835
90,50,1844
91,50,1826
92,50,1884
93,50,1956
94,50,1890
95,50,1892
96,50,1821
97,50,1889
98,50,1843
99,50,1913
100,50,1873
101,50,1861
102,50,1826
69,51,1901
70,51,1945
71,51,1954
72,51,1881
73,51,1965
74,51,1855
75,51,1886
76,51,1964
77,51,1871
78,51,1851
79,51,1864
80,51,1887
81,51,1888
82,51,1876
83,51,1895
84,51,1914
90,51,1806
91,51,1839
92,51,1822
93,51,1833
94,51,1832
95,51,1877
96,51,1883
97,51,1897
98,51,1896
99,51,1851
100,51,1888
101,51,1883
102,51,1881
103,51,1871
104,51,1795
69,52,1873
70,52,1976
71,52,1997
72,52,1986
73,52,1962
74,52,1945
75,52,1940
76,52,1910
77,52,1885
78,52,1794
79,52,1845
80,52,1802
81,52,1923
82,52,1858
93,52,1839
94,52,1848
95,52,1879
96,52,1885
97,52,1897
98,52,1894
99,52,1866
100,52,1881
101,52,1932
102,52,1908
103,52,1884
104,52,1892
105,52,1805
69,53,1837
70,53,1888
71,53,1900
72,53,1985
73,53,1957
74,53,1983
75,53,1894
76,53,1836
77,53,1793
78,53,1832
95,53,1814
96,53,1844
97,53,1927
98,53,1889
99,53,1846
100,53,1861
101,53,1878
102,53,1948
103,53,1872
104,53,1881
105,53,1820
106,53,1881
69,54,1839
70,54,1904
71,54,1866
72,54,1923
73,54,1908
74,54,1946
75,54,1812
76,54,1909
97,54,1831
98,54,1836
99,54,1883
100,54,1850
101,54,1901
102,54,1930
103,54,1889
104,54,1896
105,54,1815
106,54,1831
69,55,1904
70,55,1888
71,55,1879
72,55,1889
73,55,1936
99,55,1873
100,55,1815
101,55,1843
102,55,1822
103,55,1903
104,55,1954
105,55,1864
106,55,1949
69,56,1854
70,56,1876
71,56,1873
72,56,1847
101,56,1852
102,56,1855
103,56,1971
104,56,1931
105,56,1847
106,56,1835
101,57,1861
102,57,1896
103,57,1941
104,57,1979
