X,Y,Value
153,86,2733
154,86,2356
155,86,5116
156,86,3217
157,86,3277
158,86,2304
152,87,3717
153,87,5248
154,87,2869
155,87,5045
156,87,5567
157,87,4593
158,87,2306
159,87,2772
151,88,2964
152,88,2628
153,88,4348
154,88,2798
155,88,3593
156,88,4388
157,88,4573
158,88,2630
159,88,4501
160,88,3331
151,89,4587
152,89,4347
153,89,3035
154,89,4216
155,89,6477
156,89,4046
157,89,4143
158,89,5707
159,89,4136
160,89,3335
168,89,3313
169,89,3827
170,89,3235
171,89,3969
172,89,4040
173,89,3522
151,90,4940
152,90,3791
153,90,4023
154,90,4511
155,90,4557
156,90,4679
157,90,6168
158,90,6253
159,90,3879
160,90,3106
161,90,3002
162,90,2640
163,90,3293
164,90,3268
165,90,2432
166,90,4605
167,90,2733
168,90,2458
169,90,2875
170,90,3156
171,90,3494
172,90,5136
173,90,3206
174,90,3323
175,90,4628
176,90,2358
151,91,3972
152,91,5128
153,91,5465
154,91,3409
155,91,5500
156,91,4305
157,91,5437
158,91,6074
159,91,3483
160,91,6051
161,91,4342
162,91,4905
163,91,3078
164,91,3208
165,91,3337
166,91,5491
167,91,3837
168,91,3264
169,91,3272
170,91,3363
171,91,4363
172,91,2688
173,91,3022
174,91,3480
175,91,4027
176,91,4278
177,91,3222
178,91,2332
151,92,4531
152,92,5130
153,92,3891
154,92,5297
155,92,5545
156,92,3653
157,92,3904
158,92,4776
159,92,3078
160,92,5916
161,92,3747
162,92,4654
163,92,3133
164,92,4263
165,92,3469
166,92,2452
167,92,2550
168,92,3250
169,92,4522
170,92,2994
171,92,3637
172,92,4576
173,92,4558
174,92,3415
175,92,4714
176,92,4435
177,92,3911
178,92,4297
151,93,5801
152,93,3478
153,93,3817
154,93,5151
155,93,4638
156,93,4699
157,93,3673
158,93,4158
159,93,4976
160,93,4224
161,93,4526
162,93,4605
163,93,3689
164,93,5371
165,93,3275
166,93,3266
167,93,4618
168,93,3386
169,93,2726
170,93,3416
171,93,3021
172,93,2934
173,93,4762
174,93,3212
175,93,3855
176,93,4243
177,93,3835
178,93,4594
179,93,4901
151,94,3697
152,94,2515
153,94,4010
154,94,5968
155,94,6679
156,94,5255
157,94,6343
158,94,5008
159,94,6054
160,94,4085
161,94,6239
162,94,3978
163,94,4385
164,94,4147
165,94,3406
166,94,3675
167,94,4114
168,94,2963
169,94,3735
170,94,3225
171,94,3482
172,94,3889
173,94,2685
174,94,4493
175,94,3046
176,94,3468
177,94,2826
178,94,3302
179,94,4889
150,95,5442
151,95,4571
152,95,4050
153,95,3968
154,95,4309
155,95,4170
156,95,5021
157,95,3809
158,95,4053
159,95,6405
160,95,3407
161,95,6610
162,95,5268
163,95,4331
164,95,3953
165,95,4586
166,95,2931
167,95,3084
168,95,2931
169,95,3841
170,95,3865
171,95,3302
172,95,3316
173,95,3340
174,95,3128
175,95,5950
176,95,2407
177,95,4229
178,95,3880
179,95,2352
150,96,5830
151,96,4198
152,96,4122
153,96,5390
154,96,4631
155,96,4061
156,96,3388
157,96,3096
158,96,3933
159,96,5377
160,96,5002
161,96,4840
162,96,2530
163,96,4065
164,96,3030
165,96,3955
166,96,3479
167,96,4172
168,96,2897
169,96,3970
170,96,4295
171,96,3148
172,96,3570
173,96,2661
174,96,3160
175,96,3086
176,96,3963
177,96,2722
178,96,4329
179,96,3254
149,97,4549
150,97,5841
151,97,6089
152,97,5071
153,97,5738
154,97,5591
155,97,3495
156,97,5545
157,97,5342
158,97,3068
159,97,3996
160,97,5683
161,97,3691
162,97,3287
163,97,3974
164,97,4746
165,97,4609
166,97,2515
167,97,4211
168,97,3173
169,97,2870
170,97,2861
171,97,2337
172,97,2072
173,97,3229
174,97,3170
175,97,3177
176,97,5287
177,97,3317
178,97,3335
179,97,3149
148,98,3077
149,98,2682
150,98,7807
151,98,4743
152,98,4708
153,98,5568
154,98,4911
155,98,4268
156,98,6365
157,98,4156
158,98,3715
159,98,5951
160,98,4516
161,98,2938
162,98,3015
163,98,4919
164,98,2509
165,98,5163
166,98,5833
167,98,4998
168,98,3655
169,98,3306
170,98,4091
171,98,4094
172,98,3883
173,98,4235
174,98,3029
175,98,4440
176,98,3124
177,98,3310
178,98,3355
179,98,2805
147,99,5234
148,99,3038
149,99,4271
150,99,4423
151,99,4688
152,99,4525
153,99,6478
154,99,6922
155,99,5232
156,99,5512
157,99,3270
158,99,6939
159,99,5839
160,99,2735
161,99,5231
162,99,4488
163,99,4906
164,99,3624
165,99,3849
166,99,4323
167,99,3731
168,99,2465
169,99,4039
170,99,3437
171,99,3705
172,99,4024
173,99,3744
174,99,2619
175,99,4339
176,99,3019
177,99,3583
178,99,5199
179,99,4435
146,100,3887
147,100,4355
148,100,3822
149,100,2939
150,100,3980
151,100,8060
152,100,7003
153,100,4677
154,100,3730
155,100,5513
156,100,6092
157,100,4263
158,100,6076
159,100,3374
160,100,4101
161,100,4606
162,100,5236
163,100,4553
164,100,3144
165,100,4371
166,100,4342
167,100,3086
168,100,3179
169,100,3518
170,100,3238
171,100,3482
172,100,3066
173,100,3415
174,100,3527
175,100,3510
176,100,3622
177,100,3603
178,100,3919
179,100,4084
180,100,3844
145,101,4209
146,101,4441
147,101,3084
148,101,4664
149,101,4620
150,101,4798
151,101,6072
152,101,7279
153,101,6239
154,101,5091
155,101,6052
156,101,6496
157,101,5621
158,101,5717
159,101,3748
160,101,4555
161,101,3936
162,101,3413
163,101,4921
164,101,2906
165,101,4641
166,101,3209
167,101,2717
168,101,2281
169,101,2629
170,101,3006
171,101,3090
172,101,3231
173,101,3017
174,101,3146
175,101,4480
176,101,3090
177,101,2637
178,101,2388
179,101,2788
180,101,4289
144,102,2539
145,102,3193
146,102,5315
147,102,3536
148,102,5769
149,102,6016
150,102,6539
151,102,6186
152,102,7117
153,102,6775
154,102,6525
155,102,5260
156,102,7098
157,102,4378
158,102,8264
159,102,5620
160,102,5274
161,102,6575
162,102,3745
163,102,4267
164,102,3860
165,102,3352
166,102,4139
167,102,3637
168,102,2700
169,102,2745
170,102,3182
171,102,4394
172,102,2266
173,102,3053
174,102,3161
175,102,4363
176,102,3409
177,102,3996
178,102,3901
179,102,3080
180,102,4792
181,102,3114
144,103,3714
145,103,4535
146,103,5071
147,103,4547
148,103,6228
149,103,5162
150,103,5273
151,103,6579
152,103,8337
153,103,6942
154,103,8925
155,103,6161
156,103,8538
157,103,7690
158,103,5674
159,103,7136
160,103,6783
161,103,3766
162,103,3526
163,103,5698
164,103,4297
165,103,2335
166,103,3667
167,103,3191
168,103,5453
169,103,2881
170,103,4001
171,103,2425
172,103,2910
173,103,4363
174,103,3430
175,103,3148
176,103,3490
177,103,4450
178,103,2446
179,103,2486
180,103,3427
181,103,3680
182,103,4208
143,104,2176
144,104,3920
145,104,4787
146,104,6657
147,104,5961
148,104,5471
149,104,8210
150,104,6864
151,104,9893
152,104,10578
153,104,9353
154,104,9273
155,104,6876
156,104,9853
157,104,8272
158,104,7147
159,104,8746
160,104,2967
161,104,6585
162,104,3610
163,104,2894
164,104,3684
165,104,3408
166,104,2952
167,104,3685
168,104,3680
169,104,3859
170,104,4387
171,104,3560
172,104,3971
173,104,2789
174,104,4322
175,104,3681
176,104,4852
177,104,2989
178,104,4657
179,104,3599
180,104,3101
181,104,4309
182,104,3214
183,104,3870
143,105,3310
144,105,3506
145,105,3953
146,105,4242
147,105,5968
148,105,7421
149,105,10594
150,105,8574
151,105,9617
152,105,8081
153,105,10743
154,105,9989
155,105,9876
156,105,9766
157,105,10354
158,105,6898
159,105,7210
160,105,5692
161,105,6010
162,105,5843
163,105,4997
164,105,3754
165,105,4615
166,105,3568
167,105,5245
168,105,3825
169,105,3033
170,105,3190
171,105,3744
172,105,4148
173,105,4413
174,105,3527
175,105,3521
176,105,3197
177,105,4533
178,105,3903
179,105,2826
180,105,3712
181,105,4789
182,105,3851
183,105,3627
184,105,4145
185,105,4224
143,106,4714
144,106,4612
145,106,5939
146,106,7325
147,106,8342
148,106,9394
149,106,9582
150,106,12539
151,106,8978
152,106,11604
153,106,9447
154,106,12983
155,106,10123
156,106,11735
157,106,11723
158,106,7278
159,106,5474
160,106,8460
161,106,5469
162,106,7694
163,106,4351
164,106,6247
165,106,3525
166,106,4975
167,106,5240
168,106,3953
169,106,4181
170,106,3182
171,106,3051
172,106,3128
173,106,4731
174,106,2801
175,106,3540
176,106,4189
177,106,4497
178,106,5154
179,106,3747
180,106,4576
181,106,6003
182,106,5232
183,106,4867
184,106,3111
185,106,4807
186,106,3116
187,106,5879
188,106,2707
189,106,3814
190,106,3605
143,107,3995
144,107,4090
145,107,7724
146,107,9359
147,107,10269
148,107,9094
149,107,14355
150,107,14039
151,107,14254
152,107,11359
153,107,14423
154,107,17075
155,107,14630
156,107,12063
157,107,9725
158,107,8878
159,107,7748
160,107,10257
161,107,6846
162,107,5880
163,107,5940
164,107,5707
165,107,3687
166,107,7075
167,107,3381
168,107,2832
169,107,4057
170,107,3673
171,107,3102
172,107,4397
173,107,3801
174,107,3891
175,107,3489
176,107,4669
177,107,4068
178,107,3844
179,107,4777
180,107,3900
181,107,5204
182,107,4741
183,107,2774
184,107,4070
185,107,4698
186,107,4322
187,107,2252
188,107,3288
189,107,4580
190,107,3113
191,107,2919
192,107,2418
143,108,5792
144,108,4968
145,108,6680
146,108,8881
147,108,11615
148,108,17390
149,108,9200
150,108,12625
151,108,15584
152,108,15718
153,108,15749
154,108,16258
155,108,13481
156,108,9916
157,108,12023
158,108,14146
159,108,7944
160,108,9743
161,108,8321
162,108,4760
163,108,7118
164,108,7093
165,108,5039
166,108,4955
167,108,4917
168,108,5375
169,108,4750
170,108,4554
171,108,3266
172,108,4934
173,108,4651
174,108,3540
175,108,3891
176,108,4246
177,108,4997
178,108,5163
179,108,4041
180,108,4140
181,108,4089
182,108,3477
183,108,3036
184,108,4608
185,108,5010
186,108,4291
187,108,4432
188,108,3849
189,108,4308
190,108,4800
191,108,3483
192,108,2205
193,108,2732
143,109,4322
144,109,5960
145,109,7486
146,109,9506
147,109,11712
148,109,13400
149,109,11833
150,109,12751
151,109,13850
152,109,14641
153,109,13858
154,109,14890
155,109,14894
156,109,13318
157,109,12352
158,109,11863
159,109,6366
160,109,10051
161,109,9143
162,109,8877
163,109,9319
164,109,8574
165,109,7883
166,109,6174
167,109,7374
168,109,5370
169,109,4462
170,109,3221
171,109,3803
172,109,5007
173,109,3568
174,109,3747
175,109,5339
176,109,3138
177,109,3889
178,109,5363
179,109,4243
180,109,4002
181,109,4401
182,109,3650
183,109,5965
184,109,3150
185,109,3959
186,109,4768
187,109,4473
188,109,4671
189,109,3417
190,109,2464
191,109,3529
192,109,4168
193,109,3341
143,110,3492
144,110,4056
145,110,6474
146,110,6977
147,110,10423
148,110,12456
149,110,15195
150,110,12665
151,110,13878
152,110,17368
153,110,16050
154,110,16380
155,110,13447
156,110,14828
157,110,14781
158,110,11312
159,110,12963
160,110,9041
161,110,12427
162,110,9466
163,110,11617
164,110,10977
165,110,7195
166,110,8652
167,110,6097
168,110,6255
169,110,5400
170,110,3026
171,110,3197
172,110,3742
173,110,4167
174,110,2666
175,110,3872
176,110,4156
177,110,3842
178,110,4022
179,110,7026
180,110,5868
181,110,5987
182,110,3756
183,110,4242
184,110,2830
185,110,3742
186,110,4057
187,110,4849
188,110,4373
189,110,5042
190,110,4233
191,110,3473
192,110,3645
193,110,4838
143,111,4711
144,111,3068
145,111,7375
146,111,7578
147,111,11017
148,111,12722
149,111,14413
150,111,13816
151,111,15997
152,111,15200
153,111,14665
154,111,13824
155,111,14424
156,111,12467
157,111,13961
158,111,10840
159,111,12456
160,111,12961
161,111,14803
162,111,15395
163,111,14989
164,111,15832
165,111,8267
166,111,11326
167,111,5272
168,111,7145
169,111,4633
170,111,4671
171,111,4713
172,111,3973
173,111,3886
174,111,3639
175,111,6544
176,111,4269
177,111,4812
178,111,6813
179,111,4208
180,111,6304
181,111,5646
182,111,4649
183,111,5578
184,111,5529
185,111,3634
186,111,2686
187,111,3544
188,111,3174
189,111,5625
190,111,4001
191,111,4892
192,111,6713
193,111,4184
144,112,3862
145,112,6185
146,112,9724
147,112,9276
148,112,11091
149,112,15265
150,112,11337
151,112,15857
152,112,17409
153,112,18211
154,112,15440
155,112,12814
156,112,12101
157,112,17189
158,112,15546
159,112,14869
160,112,17906
161,112,18338
162,112,16409
163,112,17228
164,112,11670
165,112,13387
166,112,12682
167,112,10669
168,112,10208
169,112,6261
170,112,5947
171,112,4651
172,112,2612
