X,Y,Value
108,154,1943
109,154,1906
110,154,1899
105,155,1859
106,155,1999
107,155,2061
108,155,1917
109,155,1922
110,155,2013
111,155,1974
112,155,2046
113,155,1931
114,155,1922
115,155,1915
116,155,1831
104,156,1945
105,156,2052
106,156,2077
107,156,2047
108,156,2095
109,156,2005
110,156,1967
111,156,2013
112,156,2030
113,156,2034
114,156,1928
115,156,1895
116,156,1947
117,156,1853
102,157,1897
103,157,1952
104,157,1930
105,157,2006
106,157,2151
107,157,2020
108,157,1993
109,157,2088
110,157,1927
111,157,2027
112,157,1994
113,157,2010
114,157,2003
115,157,1896
116,157,1936
117,157,1860
118,157,1851
101,158,1877
102,158,1951
103,158,1937
104,158,1963
105,158,2006
106,158,2087
107,158,2099
108,158,1953
109,158,2095
110,158,1983
111,158,1913
112,158,2038
113,158,1971
114,158,1898
115,158,1975
116,158,1979
117,158,2009
118,158,2125
119,158,2035
100,159,1868
101,159,1903
102,159,1965
103,159,1918
104,159,1944
105,159,1980
106,159,2039
107,159,2165
108,159,2146
109,159,1986
110,159,1936
111,159,1993
112,159,2053
113,159,1954
114,159,1891
115,159,2024
116,159,2070
117,159,2104
118,159,2229
119,159,2103
120,159,2245
100,160,1857
101,160,1907
102,160,1954
103,160,1990
104,160,1980
105,160,1990
106,160,1955
107,160,1962
108,160,2006
109,160,2050
110,160,1942
111,160,1873
112,160,2005
113,160,1951
114,160,1989
115,160,2079
116,160,2358
117,160,2315
118,160,2316
119,160,2225
120,160,2231
121,160,2222
122,160,2255
100,161,1845
101,161,1846
102,161,1925
103,161,1893
104,161,1932
105,161,1856
106,161,1954
107,161,2050
108,161,1957
109,161,1927
110,161,1949
111,161,1903
112,161,2066
113,161,2033
114,161,2039
115,161,2201
116,161,2371
117,161,2247
118,161,2352
119,161,2338
120,161,2380
121,161,2203
122,161,2179
123,161,2084
124,161,2181
100,162,1966
101,162,1865
102,162,1941
103,162,1911
104,162,1892
105,162,1910
106,162,1901
107,162,1893
108,162,1944
109,162,1891
110,162,1965
111,162,1954
112,162,1946
113,162,1934
114,162,2067
115,162,2282
116,162,2293
117,162,2238
118,162,2392
119,162,2303
120,162,2322
121,162,2288
122,162,2296
123,162,2153
124,162,2114
125,162,2126
126,162,2084
100,163,1921
101,163,1849
102,163,1870
103,163,1910
104,163,1877
105,163,1948
106,163,1884
107,163,1885
108,163,1947
109,163,1912
110,163,1940
