X,Y,Value
128,57,2552
129,57,4371
130,57,4143
131,57,4004
132,57,3418
123,58,2893
124,58,3589
125,58,3494
126,58,4015
127,58,2972
128,58,5471
129,58,6101
130,58,5374
131,58,5962
132,58,5408
133,58,4458
134,58,2526
122,59,3488
123,59,3116
124,59,3029
125,59,6563
126,59,5492
127,59,5142
128,59,7596
129,59,6911
130,59,7757
131,59,6565
132,59,8106
133,59,2943
134,59,3677
135,59,3425
121,60,2988
122,60,5786
123,60,3460
124,60,3514
125,60,6386
126,60,6239
127,60,7060
128,60,8004
129,60,10760
130,60,8175
131,60,8919
132,60,7144
133,60,7600
134,60,5445
135,60,4566
121,61,3535
122,61,3778
123,61,5261
124,61,6501
125,61,5581
126,61,6891
127,61,5587
128,61,6400
129,61,9651
130,61,15206
131,61,11180
132,61,8827
133,61,8439
134,61,5173
135,61,8863
120,62,4586
121,62,4197
122,62,3834
123,62,6263
124,62,8527
125,62,5856
126,62,6474
127,62,5961
128,62,9857
129,62,9564
130,62,11387
131,62,12791
132,62,13574
133,62,7852
134,62,5353
135,62,7459
120,63,3515
121,63,2851
122,63,4002
123,63,6341
124,63,7215
125,63,7694
126,63,8506
127,63,5001
128,63,6157
129,63,6324
130,63,8799
131,63,8138
132,63,6588
133,63,6898
134,63,6011
135,63,3948
136,63,4131
120,64,3895
121,64,3014
122,64,5373
123,64,9384
124,64,11113
125,64,10130
126,64,11125
127,64,6679
128,64,8155
129,64,7962
130,64,7009
131,64,6075
132,64,5649
133,64,6595
134,64,3421
135,64,4254
136,64,2633
120,65,2345
121,65,3303
122,65,3588
123,65,7645
124,65,10326
125,65,13526
126,65,11613
127,65,8414
128,65,8876
129,65,7558
130,65,4567
131,65,3972
132,65,5109
133,65,4422
134,65,2344
135,65,3416
136,65,2359
120,66,3731
121,66,3335
122,66,4819
123,66,6691
124,66,6926
125,66,7040
126,66,6602
127,66,7737
128,66,5825
129,66,4997
130,66,7089
131,66,5111
132,66,2958
133,66,2915
134,66,2594
135,66,2457
136,66,2255
137,66,3435
119,67,1949
120,67,4645
121,67,2744
122,67,4137
123,67,5428
124,67,3785
125,67,8049
126,67,6159
127,67,9975
128,67,7764
129,67,4439
130,67,3464
131,67,5763
132,67,3588
133,67,3829
134,67,2377
135,67,2265
136,67,2065
137,67,3317
158,67,2248
159,67,2195
160,67,2148
161,67,3554
162,67,3022
163,67,4586
164,67,3405
119,68,3648
120,68,2915
121,68,5122
122,68,3933
123,68,5489
124,68,7683
125,68,6713
126,68,3732
127,68,5027
128,68,6235
129,68,8242
130,68,5562
131,68,4091
132,68,3054
133,68,2181
134,68,2240
135,68,2855
136,68,2996
137,68,2377
138,68,4249
139,68,3636
140,68,2399
156,68,2072
157,68,2991
158,68,3475
159,68,3483
160,68,2883
161,68,3176
162,68,3220
163,68,3676
164,68,3024
165,68,4130
119,69,3852
120,69,2607
121,69,3153
122,69,6601
123,69,7266
124,69,7841
125,69,6410
126,69,6243
127,69,5083
128,69,6938
129,69,5375
130,69,4006
131,69,3738
132,69,3502
133,69,3383
134,69,2755
135,69,4217
136,69,2196
137,69,2604
138,69,3968
139,69,2490
140,69,2345
141,69,2808
142,69,2640
143,69,3958
144,69,2020
145,69,3626
146,69,2693
147,69,3858
148,69,2373
149,69,2489
150,69,3140
151,69,2880
152,69,3751
153,69,3639
154,69,3214
155,69,2691
156,69,2312
157,69,3791
158,69,2556
159,69,3078
160,69,5162
161,69,4264
162,69,3108
163,69,4291
164,69,2942
165,69,2849
119,70,4402
120,70,4697
121,70,3536
122,70,6411
123,70,5439
124,70,6797
125,70,6190
126,70,6131
127,70,5447
128,70,6002
129,70,6211
130,70,3598
131,70,3394
132,70,2739
133,70,2426
134,70,2385
135,70,3192
136,70,3233
137,70,2573
138,70,2413
139,70,3565
140,70,2574
141,70,2399
142,70,2795
143,70,2153
144,70,2950
145,70,3994
146,70,3003
147,70,3446
148,70,2363
149,70,2710
150,70,2244
151,70,2478
152,70,3612
153,70,2418
154,70,2913
155,70,2499
156,70,4008
157,70,5461
158,70,6175
159,70,3339
160,70,4416
161,70,5789
162,70,6586
163,70,4923
164,70,4583
165,70,2834
118,71,2875
119,71,4279
120,71,4474
121,71,3706
122,71,4644
123,71,6507
124,71,6309
125,71,6127
126,71,6388
127,71,6328
128,71,4997
129,71,3838
130,71,3400
131,71,3397
132,71,3561
133,71,3197
134,71,2222
135,71,4214
136,71,2911
137,71,2537
138,71,2839
139,71,3044
140,71,2284
141,71,2250
142,71,3207
143,71,3448
144,71,2228
145,71,2613
146,71,3658
147,71,2274
148,71,2025
149,71,2914
150,71,3851
151,71,3571
152,71,2842
153,71,1832
154,71,3035
155,71,2549
156,71,3048
157,71,3685
158,71,3488
159,71,5661
160,71,7285
161,71,7194
162,71,5819
163,71,7274
164,71,6146
165,71,3392
166,71,3813
117,72,3297
118,72,2916
119,72,4518
120,72,4438
121,72,5629
122,72,4955
123,72,5604
124,72,6886
125,72,5427
126,72,5867
127,72,4290
128,72,4251
129,72,3635
130,72,2960
131,72,1891
132,72,2696
133,72,3804
134,72,2842
135,72,2468
136,72,3201
137,72,3671
138,72,3044
139,72,2917
140,72,2794
141,72,2928
142,72,2702
143,72,2962
144,72,1833
145,72,2506
146,72,3334
147,72,2494
148,72,3063
149,72,2418
150,72,2229
151,72,2997
152,72,3514
153,72,2905
154,72,2267
155,72,2568
156,72,2841
157,72,3400
158,72,4011
159,72,5144
160,72,8078
161,72,6619
162,72,7783
163,72,7007
164,72,8751
165,72,5076
166,72,3761
116,73,2908
117,73,3027
118,73,2687
119,73,4111
120,73,4892
121,73,4472
122,73,6586
123,73,3060
124,73,4196
125,73,4718
126,73,3816
127,73,4557
128,73,3181
129,73,3431
130,73,3036
131,73,2226
132,73,3540
133,73,3312
134,73,2716
135,73,2016
136,73,4950
137,73,2778
138,73,2086
139,73,3673
140,73,3553
141,73,2956
142,73,3727
143,73,4077
144,73,2118
145,73,3099
146,73,2933
147,73,3514
148,73,3043
149,73,3323
150,73,2588
151,73,3560
152,73,4095
153,73,4290
154,73,2622
155,73,2622
156,73,3398
157,73,3284
158,73,2795
159,73,5276
160,73,6046
161,73,9582
162,73,5504
163,73,9925
164,73,6879
165,73,4636
166,73,3245
115,74,2557
116,74,3429
117,74,3302
118,74,3532
119,74,4495
120,74,3439
121,74,5363
122,74,6246
123,74,5349
124,74,3944
125,74,5146
126,74,4144
127,74,2879
128,74,3767
129,74,4554
130,74,2986
131,74,2388
132,74,1803
133,74,3467
134,74,2457
135,74,1975
136,74,3153
137,74,3269
138,74,4341
139,74,3456
140,74,2953
